EDC3_gas_a (yr),CO2 (ppmv),Gasage (yr BP) ,CO2 (ppmv),sigma mean CO2 (ppmv),bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,celsius,Bag,ztop,Age,Deuterium,Temperature,bag,ztop,EDC3béta,AICC2012,deutfinal,temp,acc-EDC3beta,Year,Month,Median montly series,Date,EDC1999 depth,gas age (edc3_gas_a),CH4 mean,1 s uncertainty,"Bern, Grenoble"
1153.0,277.7,-36.616016200000104,344.71776861346984,0.09387945585027316,13,6.6,38.51757,31.06,-390.9,218.3,3.07229,-54.849999999999966,13.0,6.6,38.37379,-390.9,0.88,13,6.6,38.51757,31.06,-390.9,218.3,3.07229,1712.0,1.0,42.6,1712-01-01,112.14,459.0,670.0,10.0,g
1233.0,278.7,-36.14322833999995,343.9736767615952,0.060520378828762864,14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,-53.94999999999999,14.0,7.15,46.81203,-385.1,1.84,14,7.15,47.00211,39.72333333,-385.1,219.2,3.055912,1712.0,2.0,31.3,1712-02-01,113.03,478.0,644.0,10.0,b
1350.0,277.4,-35.76218001999996,343.1107520502481,0.14370612931476692,15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,-52.74999999999997,15.0,7.7,55.05624,-377.8,3.04,15,7.7,55.20552,48.38666667,-377.8,220.4,3.043866,1712.0,3.0,83.9,1712-03-01,114.67,533.0,670.0,10.0,g
1453.0,279.2,-34.916752950000046,342.0519764062061,0.46168058172044946,16,8.25,64.43646,57.05,-394.1,217.7,3.027896,-55.44999999999999,16.0,8.25,64.41511,-394.1,0.35,16,8.25,64.43646,57.05,-394.1,217.7,3.027896,1712.0,4.0,102.7,1712-04-01,114.78,539.0,668.0,10.0,g
1552.0,280.0,-33.07684986999993,341.3292967441024,0.09745203958926607,17,8.8,73.05573,66.38,-398.7,217.0,3.011312,-56.14999999999998,17.0,8.8,73.15077,-398.7,-0.42,17,8.8,73.05573,66.38,-398.7,217.0,3.011312,1712.0,5.0,60.1,1712-05-01,115.22,554.0,680.0,10.0,g
1638.0,278.9,-33.02591865999989,339.4604885213476,0.30194194663196283,18,9.35,81.72349,75.71,-395.9,217.4,2.994881,-55.74999999999997,18.0,9.35,81.93244,-395.9,0.05,18,9.35,81.72349,75.71,-395.9,217.4,2.994881,1712.0,6.0,102.7,1712-06-01,118.48,668.0,667.0,10.0,b
1733.0,278.7,-29.14258988000006,334.84855553252345,0.3749721983570837,19,9.9,90.43857,85.04,-395.9,217.4,2.92487,-55.74999999999997,19.0,9.9,90.75925,-395.9,0.05,19,9.9,90.43857,85.04,-395.9,217.4,2.92487,1712.0,7.0,200.4,1712-07-01,118.74,678.0,669.0,10.0,g
1812.0,278.0,-26.796750369999927,335.54695345792317,0.6340970031591255,20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,-56.24999999999997,20.0,10.45,99.97031,-399.3,-0.52,20,10.45,99.70485,94.86333333,-399.3,216.9,2.678806,1712.0,8.0,106.5,1712-08-01,120.85,736.0,680.0,10.0,b
1931.0,276.9,-26.67036968000002,332.3689555204767,1.2670729590719434,21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,-54.94999999999999,21.0,11.0,109.88879,-391.4,0.79,21,11.0,109.8195,104.6866667,-391.4,218.2,2.668117,1712.0,9.0,111.5,1712-09-01,121.15,742.0,643.0,10.0,b
2057.0,276.7,-25.570921230000067,332.3656863259178,0.03940064690413842,22,11.55,119.2176,114.51,-399.5,216.8,2.660774,-56.349999999999966,22.0,11.55,119.25888,-399.5,-0.55,22,11.55,119.2176,114.51,-399.5,216.8,2.660774,1712.0,10.0,180.4,1712-10-01,124.34,861.0,664.0,10.0,g
